id,immOpt,delOpt,delay,task
297,-0.5,-1,1,loss
298,-0.032258065,-1,10,loss
299,-0.909090909,-1,1,loss
300,-1.818181818,-20,20,loss
301,-0.166666667,-1,50,loss
302,-0.3125,-5,5,loss
303,-4.545454545,-5,10,loss
304,-10,-20,10,loss
305,-2,-5,5,loss
306,-8,-20,3,loss
307,-0.99009901,-1,1,loss
308,-5,-10,10,loss
309,-0.081967213,-5,20,loss
310,-1.428571429,-5,5,loss
311,-3.333333333,-5,5,loss
312,-1.666666667,-5,2,loss
313,-19.04761905,-20,5,loss
314,-9.803921569,-10,2,loss
315,-2.5,-10,10,loss
316,-13.33333333,-20,1,loss
317,-0.196078431,-10,50,loss
318,-7.692307692,-10,1,loss
319,-15.38461538,-20,1,loss
320,-3.846153846,-5,3,loss
321,-0.666666667,-1,1,loss
322,-0.066225166,-10,50,loss
323,-0.163934426,-10,20,loss
324,-8,-20,5,loss
325,-9.708737864,-10,3,loss
326,-2.857142857,-20,2,loss
327,-0.166666667,-1,10,loss
328,-1.25,-5,1,loss
329,-18.18181818,-20,1,loss
330,-4.166666667,-5,2,loss
331,-0.142857143,-1,2,loss
332,-16.66666667,-20,20,loss
333,-3.333333333,-20,5,loss
334,-0.090909091,-1,10,loss
335,-0.0625,-1,50,loss
336,-0.714285714,-5,20,loss
